"","x"
"1","f1_featmorgan"
"2","f1_topological.ATSc5.y"
"3","f1_layered"
"4","f1_morgan"
"5","f1_topological.ATSc4.y"
"6","f1_topological.ATSc5.x"
"7","f1_topological.ATSc4.x"
"8","f1_mcs_tanimoto"
"9","f1_atompair"
"10","f1_topological.ATSc3.x"
"11","f1_rdkit"
"12","f1_torsion"
"13","f1_maccs"
"14","f1_topological.VCH.7.x"
"15","f1_constitutional.nAtomP.x"
"16","f1_.xbridBCUTc.1l.x"
"17","f1_topological.ATSc3.y"
"18","f1_topological.WTPT.5.y"
"19","f1_topological..ybRatio.y"
"20","f1_topological.VCH.6.x"
"21","f1_constitutional.AMR.y"
"22","f1_topological.VCH.7.y"
"23","f1_topological.MDEC.23.x"
"24","f1_topological.MDEC.33.x"
"25","f1_topological.fragC.x"
"26","f1_topological.VC.5.y"
"27","f1_topological.C1SP3.x"
"28","f1_topological.VP.6.y"
"29","f1_topological.MDEC.13.x"
"30","f1_topological.SCH.6.x"
"31","f1_.ybridBCUTc.1l.y"
"32","f1_electronic.apol.x"
"33","f1_electronic.bpol.x"
"34","f1_.ybridBCUTp.1h.y"
"35","f1_topological.MDEC.13.y"
"36","f1_topological.SP.7.x"
"37","f1_topological.VPC.4.y"
"38","f1_topological.ATSp1.x"
"39","f1_constitutional.nAtomLC.y"
"40","f1_topological.MDEC.33.y"
"41","f1_topological.MDEN.23.y"
"42","f1_mcs_coverlap"
"43","f1_.xbridBCUTp.1h.x"
"44","f1_topological.SP.6.x"
"45","f1_topological.VP.7.x"
"46","f1_topological.SP.5.x"
"47","f1_topological.MDEC.23.y"
"48","f1_topological.Kier3.y"
"49","f1_topological.SP.6.y"
"50","f1_topological.SP.1.x"
"51","f1_topological.SCH.6.y"
"52","f1_constitutional.xLogP.x"
"53","f1_topological.WTPT.5.x"
"54","f1_topological.VC.5.x"
"55","f1_topological.VPC.6.y"
"56","f1_topological.VP.6.x"
"57","f1_topological.FMF.x"
"58","f1_topological.fragC.y"
"59","f1_constitutional.ALogp2.x"
"60","f1_topological.VC.3.y"
"61","f1_topological.ATSp4.x"
"62","f1_topological.VPC.5.y"
"63","f1_constitutional.nAtomLC.x"
"64","f1_constitutional.nAtom.x"
"65","f1_electronic.bpol.y"
"66","f1_topological.VCH.6.y"
"67","f1_topological.ATSc2.y"
"68","f1_constitutional.nAtomP.y"
"69","f1_constitutional.ALogp2.y"
"70","f1_.xbridBCUTp.1l.x"
"71","f1_topological.FMF.y"
"72","f1_topological..xbRatio.x"
"73","f1_mcs_size"
"74","f1_topological.ATSp5.y"
"75","f1_topological.khs.dsN.x"
"76","f1_topological.ATSp3.y"
"77","f1_topological.WTPT.1.y"
"78","f1_topological.VP.7.y"
"79","f1_topological.VPC.6.x"
"80","f1_constitutional.nAtom.y"
"81","f1_topological.VP.3.y"
"82","f1_topological.MDEC.24.x"
"83","f1_topological.VPC.5.x"
"84","f1_topological.ATSp3.x"
"85","f1_topological.SP.7.y"
"86","f1_topological.VP.4.y"
"87","f1_topological.VP.0.x"
"88","f1_topological.MDEC.12.x"
"89","f1_topological.MDEN.23.x"
"90","f1_topological.VP.5.y"
"91","f1_topological.WPOL.y"
"92","f1_topological.khs.aasC.x"
"93","f1_topological.SCH.7.x"
"94","f1_topological.SP.4.y"
"95","f1_topological.khs.sCH3.x"
"96","f1_topological.ATSm1.x"
"97","f1_topological.VP.0.y"
"98","f1_topological.MDEN.13.x"
"99","f1_topological.C1SP3.y"
"100","f1_topological.C2SP3.x"
"101","f1_topological.MDEO.22.y"
"102","f1_topological.ATSp2.y"
"103","f1_topological.VP.5.x"
"104","f1_topological.MDEC.34.y"
"105","f1_topological.SP.3.x"
"106","f1_topological.MDEC.34.x"
"107","f1_topological.C3SP2.x"
"108","f1_topological.khs.ssO.x"
"109","f1_topological.VP.3.x"
"110","f1_topological.SCH.7.y"
"111","f1_topological.WTPT.1.x"
"112","f1_topological.ATSp5.x"
"113","f1_topological.khs.ssCH2.y"
"114","f1_topological.C3SP3.x"
"115","f1_topological.khs.aasC.y"
"116","f1_topological.SPC.6.y"
"117","f1_topological.MDEC.12.y"
"118","f1_constitutional.AMR.x"
"119","f1_topological.WPATH.y"
"120","f1_topological.ATSp2.x"
"121","f1_topological.ECCEN.y"
"122","f1_topological.WPATH.x"
"123","f1_constitutional.nBase.x"
"124","f1_constitutional.nRotB.y"
"125","f1_topological.SP.5.y"
"126","f1_topological.Kier2.y"
"127","f1_topological.SC.6.x"
"128","f1_topological.ATSp1.y"
"129","f1_geometrical.topoShape.x"
"130","f1_topological.VP.2.x"
"131","f1_topological.MDEO.22.x"
"132","f1_topological.SC.4.x"
"133","f1_constitutional.nAtomLAC.x"
"134","f1_topological.PetitjeanNumber.x"
"135","f1_topological.SP.2.y"
"136","f1_electronic.apol.y"
"137","f1_topological.ATSp4.y"
"138","f1_topological.MDEC.11.x"
"139","f1_constitutional.nAtomLAC.y"
"140","f1_topological.ATSm1.y"
"141","f1_topological.VC.6.x"
"142","f1_topological.SP.3.y"
"143","f1_topological.ATSm4.y"
"144","f1_constitutional.yLogP.y"
"145","f1_topological.C2SP3.y"
"146","f1_topological.topoShape.x"
"147","f1_constitutional.nAromBond.x"
"148","f1_topological.VAdjMat.y"
"149","f1_topological.Kier3.x"
"150","f1_topological.SC.4.y"
"151","f1_topological.MDEO.12.x"
"152","f1_topological.nRingBlocks.y"
