"","name","type","randomForest.importance"
"1","f1_morgan","numeric",43.432645433787
"2","f1_featmorgan","numeric",45.9531363953139
"3","f1_atompair","numeric",38.4892746235792
"4","f1_rdkit","numeric",38.1194664982912
"5","f1_torsion","numeric",38.037652772733
"6","f1_layered","numeric",43.45887706605
"7","f1_maccs","numeric",36.5590043665221
"8","f1_mcs_size","integer",25.8025590999949
"9","f1_mcs_tanimoto","numeric",39.8310718776662
"10","f1_mcs_coverlap","numeric",27.997326068443
"11","f1_constitutional.xLogP.x","numeric",27.195645110005
"12","f1_constitutional.MW.x","numeric",18.0361152258688
"13","f1_constitutional.LipinskiFailures.x","integer",4.65705239471992
"14","f1_constitutional.nRotB.x","integer",14.8368343906533
"15","f1_constitutional.MLogP.x","numeric",18.1980709424299
"16","f1_constitutional.nAtomLAC.x","integer",21.2636983479474
"17","f1_constitutional.nAtomP.x","integer",35.5650037811968
"18","f1_constitutional.nAtomLC.x","integer",26.5976592829917
"19","f1_constitutional.nB.x","integer",11.8253716685623
"20","f1_constitutional.nBase.x","integer",21.7503181059847
"21","f1_constitutional.nAtom.x","integer",26.5783112191595
"22","f1_constitutional.nAromBond.x","integer",20.105476917978
"23","f1_constitutional.naAromAtom.x","integer",15.8877279349276
"24","f1_constitutional.ALogP.x","numeric",19.4001283466564
"25","f1_constitutional.ALogp2.x","numeric",26.7654447776867
"26","f1_constitutional.AMR.x","numeric",22.1957769476099
"27","f1_constitutional.nAcid.x","integer",18.4046646159844
"28","f1_topological.nSmallRings.x","integer",12.6345575927261
"29","f1_topological.nAromRings.x","integer",12.5801104519514
"30","f1_topological.nRingBlocks.x","integer",18.8536351548991
"31","f1_topological.nAromBlocks.x","integer",15.6233054795779
"32","f1_topological.nRings3.x","integer",7.68129908492445
"33","f1_topological.nRings4.x","integer",6.7980546089967
"34","f1_topological.nRings5.x","integer",11.2322653178622
"35","f1_topological.nRings6.x","integer",11.7888050615902
"36","f1_topological.nRings7.x","integer",15.2998826692729
"37","f1_topological.tpsaEfficien.x.x","numeric",16.9839263039654
"38","f1_topological.Zagreb.x","integer",12.8544456244128
"39","f1_topological.WPATH.x","numeric",21.7888404610997
"40","f1_topological.WPOL.x","integer",17.1917371812032
"41","f1_topological.WTPT.1.x","numeric",22.6719067231324
"42","f1_topological.WTPT.2.x","numeric",17.5103153607816
"43","f1_topological.WTPT.3.x","numeric",14.3576693595776
"44","f1_topological.WTPT.4.x","numeric",15.4109025563182
"45","f1_topological.WTPT.5.x","numeric",27.1045276724322
"46","f1_topological.VAdjMat.x","numeric",18.7679651011386
"47","f1_topological.VABC.x","numeric",18.1628531823099
"48","f1_topological.TopoPSA.x","numeric",18.4494504073301
"49","f1_topological.topoShape.x","numeric",20.2001301086686
"50","f1_topological.PetitjeanNumber.x","numeric",21.2435452976518
"51","f1_topological.MDEC.11.x","numeric",21.0758499683238
"52","f1_topological.MDEC.12.x","numeric",24.7456135786208
"53","f1_topological.MDEC.13.x","numeric",29.5413671586861
"54","f1_topological.MDEC.14.x","numeric",18.0191136151021
"55","f1_topological.MDEC.22.x","numeric",17.5900526239407
"56","f1_topological.MDEC.23.x","numeric",31.2553886183137
"57","f1_topological.MDEC.24.x","numeric",25.1698654887108
"58","f1_topological.MDEC.33.x","numeric",31.2225952421491
"59","f1_topological.MDEC.34.x","numeric",23.0007648569811
"60","f1_topological.MDEC.44.x","numeric",8.17660518824752
"61","f1_topological.MDEO.11.x","numeric",16.1410592515769
"62","f1_topological.MDEO.12.x","numeric",19.8913277232155
"63","f1_topological.MDEO.22.x","numeric",21.3814653259919
"64","f1_topological.MDEN.11.x","numeric",11.6479353282054
"65","f1_topological.MDEN.12.x","numeric",15.6293111949547
"66","f1_topological.MDEN.13.x","numeric",23.5971348127642
"67","f1_topological.MDEN.22.x","numeric",15.1638069609979
"68","f1_topological.MDEN.23.x","numeric",24.6787835456101
"69","f1_topological.MDEN.33.x","numeric",13.8765256165455
"70","f1_topological.khs.sssB.x","integer",0
"71","f1_topological.khs.sCH3.x","integer",23.6934141952338
"72","f1_topological.khs.dCH2.x","integer",10.218252290459
"73","f1_topological.khs.ssCH2.x","integer",17.7500139567294
"74","f1_topological.khs.tCH.x","integer",11.5919858762684
"75","f1_topological.khs.dsCH.x","integer",19.1519302703506
"76","f1_topological.khs.aaCH.x","integer",16.2784944619191
"77","f1_topological.khs.sssCH.x","integer",14.5114223904687
