,name,hype,randomForest.importance
2,featmorgan,numeric,45.9531363953
365,topological.ATSc5.y,numeric,45.3585335026
6,layered,numeric,43.4588770661
1,morgan,numeric,43.4326454338
364,topological.ATSc4.y,numeric,42.4498108767
181,topological.ATSc5.x,numeric,40.8800979865
180,topological.ATSc4.x,numeric,40.6005195327
9,mcs_tanimoto,numeric,39.8310718777
3,atompair,numeric,38.4892746236
179,topological.ATSc3.x,numeric,38.3495045336
4,rdkit,numeric,38.1194664983
5,torsion,numeric,38.0376527727
7,maccs,numeric,36.5590043665
157,topological.VCH.7.x,numeric,36.2016120807
17,constitutional.nAtomP.x,integer,35.5650037812
191,bridBCUTc.1l.x,numeric,34.6147443961
363,topological.ATSc3.y,numeric,33.130067123
229,topological.WTPT.5.y,numeric,32.7090865287
298,topological..ybRatio.y,numeric,32.6212033877
156,topological.VCH.6.x,numeric,32.4403424263
210,constitutional.AMR.y,numeric,31.8018798231
341,topological.VCH.7.y,numeric,31.6094528284
56,topological.MDEC.23.x,numeric,31.2553886183
58,topological.MDEC.33.x,numeric,31.2225952421
115,topological.fragC.x,numeric,31.2209933979
330,topological.VC.5.y,numeric,30.5562731436
163,topological.C1SP3.x,integer,30.5379064844
316,topological.VP.6.y,numeric,29.7267609933
53,topological.MDEC.13.x,numeric,29.5413671587
151,topological.SCH.6.x,numeric,29.4611664196
375,hybridBCUTc.1l.y,numeric,29.0169106002
187,electronic.apol.x,numeric,28.6671574203
186,electronic.bpol.x,numeric,28.4668088557
378,hybridBCUTp.1h.y,numeric,28.4479940715
237,topological.MDEC.13.y,numeric,28.3627147338
125,topological.SP.7.x,numeric,28.2883838235
321,topological.VPC.4.y,numeric,28.279526468
167,topological.ATSp1.x,numeric,28.1775417905
202,constitutional.nAtomLC.y,integer,28.1651439307
242,topological.MDEC.33.y,numeric,28.1367011492
252,topological.MDEN.23.y,numeric,28.0953021051
10,mcs_coverlap,numeric,27.9973260684
194,hybridBCUTp.1h.x,numeric,27.9906938235
124,topological.SP.6.x,numeric,27.8721070248
133,topological.VP.7.x,numeric,27.746914145
123,topological.SP.5.x,numeric,27.6670625768
240,topological.MDEC.23.y,numeric,27.6513133925
297,topological.Kier3.y,numeric,27.5785272356
308,topological.SP.6.y,numeric,27.4334767114
119,topological.SP.1.x,numeric,27.3245561577
335,topological.SCH.6.y,numeric,27.2656749015
11,constitutional.xLogP.x,numeric,27.19564511
45,topological.WTPT.5.x,numeric,27.1045276724
146,topological.VC.5.x,numeric,27.0569487229
323,topological.VPC.6.y,numeric,27.0277454
132,topological.VP.6.x,numeric,26.8823578366
116,topological.FMF.x,numeric,26.8508840237
299,topological.fragC.y,numeric,26.844114802
25,constitutional.ALogp2.x,numeric,26.7654447777
328,topological.VC.3.y,numeric,26.7623556623
170,topological.ATSp4.x,numeric,26.7000993855
322,topological.VPC.5.y,numeric,26.6881357647
18,constitutional.nAtomLC.x,integer,26.597659283
21,constitutional.nAtom.x,integer,26.5783112192
370,electronic.bpol.y,numeric,26.4912249131
340,topological.VCH.6.y,numeric,26.4540734669
362,topological.ATSc2.y,numeric,26.2502631314
201,constitutional.nAtomP.y,integer,26.1894383288
209,constitutional.ALogp2.y,numeric,26.0641250442
193,hybridBCUTp.1l.x,numeric,26.0268070735
300,topological.FMF.y,numeric,25.8813301499
114,topological..xbRatio.x,numeric,25.8721225388
8,mcs_size,integer,25.8025591
